timestamp,date_time,is_ppg,green,red,infra_red
1708516815267,1708516815267,1,185413,58313,72592
1708516815307,1708516815307,1,185515,58306,72601
1708516815347,1708516815347,1,185639,58322,72624
1708516815387,1708516815387,1,185785,58333,72651
1708516815427,1708516815427,1,185936,58330,72671
1708516815467,1708516815467,1,186081,58336,72684
1708516815507,1708516815507,1,186247,58351,72705
1708516815547,1708516815547,1,186409,58353,72719
1708516815587,1708516815587,1,186450,58335,72683
1708516815627,1708516815627,1,186127,58304,72608
1708516815667,1708516815667,1,185611,58282,72546
1708516815707,1708516815707,1,185201,58275,72523
1708516815747,1708516815747,1,184966,58262,72516
1708516815787,1708516815787,1,184884,58273,72522
1708516815827,1708516815827,1,184888,58269,72531
1708516815867,1708516815867,1,184890,58275,72535
1708516815907,1708516815907,1,184863,58276,72539
1708516815947,1708516815947,1,184826,58269,72531
1708516815997,1708516815997,1,184836,58268,72535
1708516816035,1708516816035,1,184904,58273,72552
1708516816073,1708516816073,1,185009,58278,72563
1708516816111,1708516816111,1,185122,58287,72582
1708516816149,1708516816149,1,185240,58290,72590
1708516816187,1708516816187,1,185360,58292,72608
1708516816225,1708516816225,1,185493,58295,72617
1708516816263,1708516816263,1,185626,58301,72640
1708516816301,1708516816301,1,185774,58316,72656
1708516816339,1708516816339,1,185927,58309,72668
1708516816377,1708516816377,1,185887,58286,72617
1708516816415,1708516816415,1,185458,58246,72528
1708516816453,1708516816453,1,184897,58231,72475
1708516816491,1708516816491,1,184515,58222,72458
1708516816529,1708516816529,1,184301,58228,72454
1708516816567,1708516816567,1,184219,58232,72461
1708516816605,1708516816605,1,184218,58231,72473
1708516816643,1708516816643,1,184219,58226,72472
1708516816681,1708516816681,1,184193,58221,72454
1708516816719,1708516816719,1,184176,58227,72464
1708516816757,1708516816757,1,184198,58224,72481
1708516816795,1708516816795,1,184299,58234,72491
1708516816833,1708516816833,1,184414,58240,72507
1708516816871,1708516816871,1,184560,58252,72531
1708516816909,1708516816909,1,184709,58260,72552
1708516816947,1708516816947,1,184867,58265,72565
1708516816987,1708516816987,1,185025,58262,72574
1708516817027,1708516817027,1,185196,58263,72588
1708516817067,1708516817067,1,185382,58275,72617
1708516817107,1708516817107,1,185536,58283,72621
1708516817147,1708516817147,1,185473,58251,72563
1708516817187,1708516817187,1,185045,58215,72483
1708516817227,1708516817227,1,184570,58198,72441
1708516817267,1708516817267,1,184274,58201,72425
1708516817307,1708516817307,1,184123,58203,72439
1708516817347,1708516817347,1,184115,58207,72451
1708516817387,1708516817387,1,184166,58211,72460
1708516817427,1708516817427,1,184199,58217,72458
1708516817467,1708516817467,1,184202,58214,72460
1708516817507,1708516817507,1,184223,58215,72473
1708516817547,1708516817547,1,184283,58212,72468
1708516817587,1708516817587,1,184412,58211,72477
1708516817627,1708516817627,1,184548,58218,72497
1708516817667,1708516817667,1,184711,58230,72522
1708516817707,1708516817707,1,184871,58234,72533
1708516817747,1708516817747,1,185028,58243,72551
1708516817787,1708516817787,1,185199,58249,72576
1708516817827,1708516817827,1,185371,58257,72587
1708516817867,1708516817867,1,185559,58264,72609
1708516817907,1708516817907,1,185749,58271,72633
1708516817947,1708516817947,1,185867,58258,72616
1708516817987,1708516817987,1,185672,58225,72537
1708516818027,1708516818027,1,185190,58203,72473
1708516818067,1708516818067,1,184757,58196,72458
1708516818107,1708516818107,1,184534,58196,72448
1708516818147,1708516818147,1,184447,58193,72452
1708516818187,1708516818187,1,184473,58197,72457
1708516818227,1708516818227,1,184523,58194,72469
1708516818267,1708516818267,1,184534,58194,72459
1708516818307,1708516818307,1,184528,58194,72456
1708516818347,1708516818347,1,184546,58201,72477
1708516818387,1708516818387,1,184622,58203,72493
1708516818427,1708516818427,1,184744,58206,72503
1708516818467,1708516818467,1,184887,58215,72516
1708516818507,1708516818507,1,185033,58219,72540
1708516818547,1708516818547,1,185187,58231,72558
1708516818587,1708516818587,1,185337,58227,72565
1708516818627,1708516818627,1,185500,58242,72592
1708516818667,1708516818667,1,185669,58245,72611
1708516818707,1708516818707,1,185808,58248,72613
1708516818747,1708516818747,1,185702,58222,72551
1708516818787,1708516818787,1,185287,58197,72492
1708516818827,1708516818827,1,184861,58190,72462
1708516818867,1708516818867,1,184617,58179,72451
1708516818907,1708516818907,1,184514,58190,72466
1708516818947,1708516818947,1,184550,58200,72488
1708516818987,1708516818987,1,184595,58207,72504
1708516819027,1708516819027,1,184631,58198,72501
1708516819067,1708516819067,1,184642,58198,72499
1708516819107,1708516819107,1,184670,58204,72512
1708516819147,1708516819147,1,184769,58204,72532
1708516819187,1708516819187,1,184900,58211,72541
1708516819227,1708516819227,1,185060,58209,72555
1708516819267,1708516819267,1,185227,58217,72575
1708516819307,1708516819307,1,185405,58220,72591
1708516819347,1708516819347,1,185580,58228,72615
1708516819387,1708516819387,1,185748,58237,72623
1708516819427,1708516819427,1,185934,58240,72648
1708516819467,1708516819467,1,186116,58246,72666
1708516819507,1708516819507,1,186223,58236,72648
1708516819547,1708516819547,1,185986,58204,72573
1708516819587,1708516819587,1,185496,58178,72522
1708516819627,1708516819627,1,185125,58181,72507
1708516819667,1708516819667,1,184937,58187,72517
1708516819707,1708516819707,1,184892,58189,72531
1708516819747,1708516819747,1,184938,58188,72536
1708516819787,1708516819787,1,185005,58196,72552
1708516819827,1708516819827,1,185012,58195,72551
1708516819867,1708516819867,1,185010,58193,72556
1708516819907,1708516819907,1,185055,58201,72569
1708516819947,1708516819947,1,185146,58200,72579
1708516819997,1708516819997,1,185282,58209,72599
1708516820035,1708516820035,1,185429,58218,72623
1708516820073,1708516820073,1,185574,58234,72654
1708516820111,1708516820111,1,185710,58243,72668
1708516820149,1708516820149,1,185868,58248,72691
1708516820187,1708516820187,1,186009,58245,72705
1708516820225,1708516820225,1,186167,58254,72716
1708516820263,1708516820263,1,186201,58238,72680
1708516820301,1708516820301,1,185879,58201,72608
1708516820339,1708516820339,1,185465,58187,72570
1708516820377,1708516820377,1,185190,58189,72566
1708516820415,1708516820415,1,185057,58192,72572
1708516820453,1708516820453,1,185061,58198,72602
1708516820491,1708516820491,1,185112,58207,72616
1708516820529,1708516820529,1,185151,58201,72611
1708516820567,1708516820567,1,185191,58200,72609
1708516820605,1708516820605,1,185218,58206,72621
1708516820643,1708516820643,1,185323,58214,72640
1708516820681,1708516820681,1,185436,58227,72665
1708516820719,1708516820719,1,185586,58233,72683
1708516820757,1708516820757,1,185746,58229,72695
1708516820795,1708516820795,1,185908,58227,72703
1708516820833,1708516820833,1,186088,58234,72720
1708516820871,1708516820871,1,186277,58253,72749
1708516820909,1708516820909,1,186466,58256,72768
1708516820947,1708516820947,1,186656,58247,72766
1708516820987,1708516820987,1,186662,58227,72721
1708516821027,1708516821027,1,186336,58201,72654
1708516821067,1708516821067,1,185938,58194,72635
1708516821107,1708516821107,1,185724,58199,72636
1708516821147,1708516821147,1,185644,58200,72651
1708516821187,1708516821187,1,185670,58209,72667
1708516821227,1708516821227,1,185745,58214,72682
1708516821267,1708516821267,1,185805,58218,72687
1708516821307,1708516821307,1,185848,58221,72696
1708516821347,1708516821347,1,185903,58225,72713
1708516821387,1708516821387,1,186002,58224,72712
1708516821427,1708516821427,1,186138,58235,72731
1708516821467,1708516821467,1,186296,58239,72754
1708516821507,1708516821507,1,186448,58255,72775
1708516821547,1708516821547,1,186612,58254,72790
1708516821587,1708516821587,1,186792,58260,72809
1708516821627,1708516821627,1,186956,58264,72823
1708516821667,1708516821667,1,187163,58267,72838
1708516821707,1708516821707,1,187368,58273,72858
1708516821747,1708516821747,1,187493,58256,72838
1708516821787,1708516821787,1,187320,58229,72772
1708516821827,1708516821827,1,186950,58214,72726
1708516821867,1708516821867,1,186678,58213,72716
1708516821907,1708516821907,1,186541,58216,72719
1708516821947,1708516821947,1,186526,58221,72743
1708516821987,1708516821987,1,186601,58228,72756
1708516822027,1708516822027,1,186679,58226,72767
1708516822067,1708516822067,1,186745,58225,72768
1708516822107,1708516822107,1,186801,58222,72769
1708516822147,1708516822147,1,186863,58226,72776
1708516822187,1708516822187,1,186972,58226,72785
1708516822227,1708516822227,1,187097,58229,72801
1708516822267,1708516822267,1,187246,58230,72811
1708516822307,1708516822307,1,187398,58236,72822
1708516822347,1708516822347,1,187561,58242,72842
1708516822387,1708516822387,1,187744,58257,72873
1708516822427,1708516822427,1,187917,58266,72894
1708516822467,1708516822467,1,188104,58266,72911
1708516822507,1708516822507,1,188285,58270,72914
1708516822547,1708516822547,1,188266,58239,72868
1708516822587,1708516822587,1,187943,58214,72805
1708516822627,1708516822627,1,187569,58212,72784
1708516822667,1708516822667,1,187338,58211,72783
1708516822707,1708516822707,1,187244,58215,72794
1708516822747,1708516822747,1,187256,58218,72814
1708516822787,1708516822787,1,187328,58222,72827
1708516822827,1708516822827,1,187374,58221,72833
1708516822867,1708516822867,1,187397,58223,72833
1708516822907,1708516822907,1,187436,58225,72838
1708516822947,1708516822947,1,187490,58216,72842
1708516822987,1708516822987,1,187585,58218,72844
1708516823027,1708516823027,1,187685,58225,72860
1708516823067,1708516823067,1,187817,58226,72870
1708516823107,1708516823107,1,187947,58228,72878
1708516823147,1708516823147,1,188090,58225,72889
1708516823187,1708516823187,1,188236,58235,72909
1708516823227,1708516823227,1,188382,58244,72927
1708516823267,1708516823267,1,188449,58229,72896
1708516823307,1708516823307,1,188232,58200,72840
1708516823347,1708516823347,1,187807,58187,72797
1708516823387,1708516823387,1,187466,58179,72781
1708516823427,1708516823427,1,187283,58166,72763
1708516823467,1708516823467,1,187215,58170,72781
1708516823507,1708516823507,1,187230,58177,72796
1708516823547,1708516823547,1,187259,58179,72803
1708516823587,1708516823587,1,187250,58169,72795
1708516823627,1708516823627,1,187241,58163,72788
1708516823667,1708516823667,1,187268,58162,72786
1708516823707,1708516823707,1,187321,58168,72792
1708516823747,1708516823747,1,187416,58167,72808
1708516823787,1708516823787,1,187513,58159,72807
1708516823827,1708516823827,1,187631,58164,72814
1708516823867,1708516823867,1,187758,58176,72838
1708516823907,1708516823907,1,187886,58183,72856
1708516823947,1708516823947,1,188029,58196,72884
1708516823997,1708516823997,1,188163,58201,72896
1708516824035,1708516824035,1,188142,58177,72849
1708516824073,1708516824073,1,187793,58154,72793
1708516824111,1708516824111,1,187365,58148,72768
1708516824149,1708516824149,1,187053,58146,72764
1708516824187,1708516824187,1,186905,58144,72770
1708516824225,1708516824225,1,186867,58150,72782
1708516824263,1708516824263,1,186897,58150,72791
1708516824301,1708516824301,1,186916,58158,72797
1708516824339,1708516824339,1,186916,58163,72810
1708516824377,1708516824377,1,186929,58169,72824
1708516824415,1708516824415,1,186980,58171,72827
1708516824453,1708516824453,1,187072,58170,72830
1708516824491,1708516824491,1,187188,58172,72849
1708516824529,1708516824529,1,187334,58172,72857
1708516824567,1708516824567,1,187457,58175,72869
1708516824605,1708516824605,1,187614,58176,72879
1708516824643,1708516824643,1,187780,58179,72892
1708516824681,1708516824681,1,187936,58190,72912
1708516824719,1708516824719,1,188060,58190,72912
1708516824757,1708516824757,1,187954,58168,72857
1708516824795,1708516824795,1,187574,58151,72817
1708516824833,1708516824833,1,187203,58148,72805
1708516824871,1708516824871,1,186997,58147,72807
1708516824909,1708516824909,1,186920,58150,72820
1708516824947,1708516824947,1,186954,58162,72841
1708516824987,1708516824987,1,187016,58168,72852
1708516825027,1708516825027,1,187061,58155,72848
1708516825067,1708516825067,1,187086,58160,72846
1708516825107,1708516825107,1,187112,58165,72858
1708516825147,1708516825147,1,187187,58169,72878
1708516825187,1708516825187,1,187291,58180,72894
1708516825227,1708516825227,1,187416,58186,72915
1708516825267,1708516825267,1,187556,58188,72922
1708516825307,1708516825307,1,187701,58195,72940
1708516825347,1708516825347,1,187843,58205,72959
1708516825387,1708516825387,1,187994,58212,72985
1708516825427,1708516825427,1,188148,58212,72990
1708516825467,1708516825467,1,188284,58206,72989
1708516825507,1708516825507,1,188188,58188,72937
1708516825547,1708516825547,1,187840,58168,72897
1708516825587,1708516825587,1,187524,58170,72891
1708516825627,1708516825627,1,187361,58172,72890
1708516825667,1708516825667,1,187302,58178,72904
1708516825707,1708516825707,1,187350,58182,72918
1708516825747,1708516825747,1,187416,58186,72927
1708516825787,1708516825787,1,187466,58177,72929
1708516825827,1708516825827,1,187489,58184,72934
1708516825867,1708516825867,1,187541,58187,72947
1708516825907,1708516825907,1,187616,58192,72962
